0,2,64,61,236,3
1,50,121,112,51,412
0,57,64,4,236,201
1,3,107,61,51,143
0,68,64,38,236,63
1,114,2,105,236,99
0,68,19,112,67,44
1,85,121,61,236,43
0,79,64,131,81,117
1,157,104,61,81,40
0,58,154,25,236,201
1,3,19,38,236,432
0,13,32,134,21,143
1,50,121,117,110,412
0,114,60,45,236,432
1,17,76,7,21,40
0,3,28,91,236,89
1,19,120,38,236,43
0,59,79,105,110,37
1,50,59,134,119,43
0,68,104,38,22,267
1,114,154,8,236,117
0,80,32,38,81,63
1,41,421,8,21,53
0,266,120,4,236,267
1,19,60,42,236,53
0,92,64,7,81,117
1,79,120,8,51,412
0,92,121,69,81,40
0,126,64,103,81,16
1,92,64,55,236,16
0,164,79,8,51,201
1,85,2,7,96,43
0,50,35,238,81,9
1,105,5,136,22,40
0,2,104,61,81,89
1,150,64,31,236,432
0,41,421,38,21,143
1,126,104,91,22,201
0,27,121,238,51,43
1,8,120,105,51,267
0,78,64,38,236,117
1,41,60,38,236,40
0,245,107,8,81,267
1,85,79,245,119,40
0,58,107,105,22,43
1,111,104,103,236,117
0,157,64,7,81,163
1,122,121,8,96,40
0,111,19,4,51,117
1,63,64,157,81,12
0,164,120,112,236,90
1,68,120,61,429,89
0,58,33,38,81,53
1,80,76,61,81,117
0,126,427,105,236,43
1,79,64,80,110,117
0,157,121,61,236,44
1,126,19,43,67,117
0,111,104,85,236,16
1,111,2,38,51,201
0,57,32,8,236,43
1,126,48,7,236,16
0,8,64,34,81,79
1,19,35,61,157,267
0,105,64,103,22,9
1,80,120,85,202,43
0,92,121,8,96,267
1,157,60,91,81,432
0,105,19,55,51,117
1,50,33,103,51,117
0,157,64,61,22,161
1,92,64,13,236,14
0,41,79,103,81,40
1,91,421,7,81,63
0,68,32,61,51,117
1,240,203,268,236,223
0,92,76,1,81,267
1,43,104,61,96,53
0,150,121,126,236,117
1,85,32,134,21,267
0,41,120,103,51,37
0,111,104,122,81,40
1,92,79,126,429,412
0,157,64,50,236,37
1,157,79,7,96,432
0,111,64,161,236,267
1,80,64,38,51,267
0,126,32,8,236,63
1,11,64,112,21,40
0,39,28,81,22,43
1,240,64,103,81,412
0,111,121,61,236,43
1,19,64,157,236,43
0,114,33,38,51,432
1,8,64,103,67,117
0,105,120,3,21,16
1,85,64,8,22,53
0,80,60,38,110,16
1,266,60,157,22,37
0,133,104,103,51,432
1,85,20,238,51,117
1,68,64,38,236,267
0,126,35,41,82,90
1,58,28,4,18,43
1,68,79,126,81,201
0,41,60,38,51,117
1,3,64,101,236,432
0,105,35,13,51,53
0,114,104,238,429,412
1,105,120,69,236,25
0,122,104,8,81,432
1,105,64,50,81,9
0,114,19,25,21,37
0,122,60,91,115,3
1,114,64,91,236,79
0,240,76,103,429,40
1,19,107,61,81,90
0,41,104,38,236,432
0,85,32,7,21,40
1,68,104,126,81,40
0,50,121,117,202,16
0,80,29,1,21,43
1,164,421,161,29,7
0,111,104,238,81,14
1,114,79,115,81,43
0,41,104,157,236,12
1,58,76,91,236,43
0,105,19,103,51,412
1,68,121,103,51,201
0,114,154,25,202,43
1,17,107,4,202,40
0,79,421,31,236,90
0,58,64,4,51,16
1,68,427,245,236,25
0,114,32,131,21,432
1,64,60,157,81,267
0,41,59,61,236,43
1,23,121,1,67,53
0,92,68,80,81,16
1,2,60,90,236,412
0,98,79,41,51,117
1,420,121,112,236,412
0,58,2,8,81,223
1,79,59,85,81,43
0,111,32,238,21,412
1,54,121,7,22,9
0,58,107,134,81,90
1,98,2,245,67,25
0,126,28,112,110,63
1,105,33,103,96,43
0,41,19,38,236,267
1,85,121,112,51,3
1,80,107,103,96,117
0,105,76,8,236,40
1,14,32,112,51,117
0,78,64,161,115,143
1,3,64,161,59,89
1,50,64,31,110,25
0,80,11,7,51,117
1,24,64,1,236,412
0,48,107,238,51,117
1,68,121,134,81,63
0,64,32,163,236,43
0,150,79,157,236,432
0,114,421,8,236,16
1,114,64,99,81,117
0,80,421,112,236,43
1,157,154,103,51,89
0,92,121,55,81,432
1,420,427,103,202,43
0,126,60,41,51,267
1,50,64,126,236,134
1,98,104,7,110,412
0,114,79,50,202,267
1,68,64,38,81,78
0,41,427,1,202,43
1,39,79,134,110,143
0,92,64,99,236,43
1,8,79,238,67,63
0,50,11,163,81,432
1,157,64,4,202,53
0,80,154,69,236,117
1,98,64,61,96,16
0,39,121,45,236,7
1,24,154,10,22,12
0,3,64,91,81,432
1,157,32,61,81,9
0,105,64,38,236,117
1,17,56,80,51,9
0,114,76,61,236,432
1,107,121,7,51,37
0,105,64,8,110,53
1,105,121,238,51,53
0,157,107,163,81,267
1,91,121,134,22,412
0,58,60,8,81,90
1,80,32,30,202,25
0,58,154,99,51,7
0,92,107,61,119,143
1,131,421,38,51,117
0,68,76,157,81,43
1,266,104,99,22,267
0,126,33,7,51,9
1,98,79,163,236,1
0,80,427,38,51,43
1,126,64,61,51,37
0,63,154,103,96,40
1,131,121,22,236,53
0,114,64,50,51,267
1,8,76,11,51,9
0,41,35,38,81,90
1,157,427,61,81,412
0,79,64,163,236,43
1,240,121,91,81,63
0,80,19,69,236,412
1,103,64,4,236,40
0,62,60,8,81,412
1,105,64,7,236,25
0,19,11,82,119,53
1,240,64,69,236,432
0,58,154,245,81,267
1,157,104,161,119,9
0,63,64,105,51,432
1,238,28,245,51,432
0,24,131,103,29,412
0,19,64,103,51,43
1,24,64,50,236,37
0,58,76,17,81,43
1,82,11,61,110,432
0,41,9,14,236,412
1,78,64,103,81,37
0,41,76,111,51,117
1,68,19,61,96,43
1,111,64,245,81,53
0,24,60,8,51,432
1,240,64,134,81,117
0,3,421,7,236,43
1,105,107,14,236,432
0,126,76,61,157,267
1,126,64,245,81,9
0,79,121,103,236,16
1,50,11,61,51,43
0,240,9,103,15,111
1,3,64,38,22,412
0,92,56,163,81,43
1,105,421,103,51,90
0,92,64,134,119,412
1,24,5,238,51,267
0,57,64,103,236,201
1,50,427,126,96,412
0,38,79,85,119,43
1,79,104,61,22,412
0,39,64,112,18,117
1,122,76,105,119,43
0,79,64,8,81,432
1,111,104,161,236,267
0,122,121,8,51,43
